서명 추가|서명 추가
성별, 생년 정보 제공|성별, 생년 정보 제공
사용자 지정|사용자 지정
뷰어설정|뷰어설정
대치|대치
시간 선택|시간 선택
"책장 동기화 중 오류가 발생했습니다.\n다시 시도해주세요."|"책장 동기화 중 오류가 발생했습니다.\n다시 시도해주세요."
주석을 함께 출력|주석을 함께 출력
이메일|이메일
책장을 선택해주세요.|책장을 선택해주세요.
볼륨키로 페이지 이동|볼륨키로 페이지 이동
알 수 없는 인코딩입니다.|알 수 없는 인코딩입니다.
비밀번호 8자 이상|비밀번호 8자 이상
잠금 설정이 초기화 되었습니다.|잠금 설정이 초기화 되었습니다.
터치 잠금|터치 잠금
편집|편집
첫 페이지|첫 페이지
시간 입력을 위해 텍스트 입력 모드로 전환합니다.|시간 입력을 위해 텍스트 입력 모드로 전환합니다.
아이디, 비밀번호를 잊어버린 경우 스마트폰이나 PC를 통해\n리디(ridi.com)에서 찾을 수 있습니다.|아이디, 비밀번호를 잊어버린 경우 스마트폰이나 PC를 통해\n리디(ridi.com)에서 찾을 수 있습니다.
리치 미디어|리치 미디어
비밀번호 재확인|비밀번호 재확인
내 댓글|내 댓글
즐겨찾기|즐겨찾기
비밀번호를 입력해주세요.|비밀번호를 입력해주세요.
독서 상태|독서 상태
다음 이름으로 변경…|다음 이름으로 변경…
스페이스바|스페이스바
우리나라는 국제권고기준(2 W/kg)보다 엄격한 1.6 W/kg으로 정하고\n있으며 미국도 우리와 같은 기준을 적용하고 있습니다.\n안전기준인 1.6 W/kg은 위험 예상 가능 수준보다 50배나 더 엄격하게\n설정한 것입니다.|우리나라는 국제권고기준(2 W/kg)보다 엄격한 1.6 W/kg으로 정하고\n있으며 미국도 우리와 같은 기준을 적용하고 있습니다.\n안전기준인 1.6 W/kg은 위험 예상 가능 수준보다 50배나 더 엄격하게\n설정한 것입니다.
확인|확인
남은 시간|남은 시간
리디 회원이 된것을 축하합니다!|리디 회원이 된것을 축하합니다!
듣기 종료|듣기 종료
설정되지 않음|설정되지 않음
%1$s 사용|%1$s 사용
메모|메모
작품을 들을 수도 있어요!|작품을 들을 수도 있어요!
기기 설정|기기 설정
삭제|삭제
"파일이 삭제되었습니다.\n[구매 목록]에서 작품을 다시 다운로드해주세요."|"파일이 삭제되었습니다.\n[구매 목록]에서 작품을 다시 다운로드해주세요."
현재 서비스 정기 점검 중 입니다.\n일부 서비스의 이용이 제한될 수 있습니다.\n점검이 끝난 후 다시 이용해주세요.|현재 서비스 정기 점검 중 입니다.\n일부 서비스의 이용이 제한될 수 있습니다.\n점검이 끝난 후 다시 이용해주세요.
"DRM 문제로 작품을 볼 수 없습니다(109).\n'설정 > 고객 문의 & 의견 보내기'에 문의해주세요."|"DRM 문제로 작품을 볼 수 없습니다(109).\n'설정 > 고객 문의 & 의견 보내기'에 문의해주세요."
글꼴은 5개까지 설정할 수 있으며 만화책, PDF 파일에는 적용되지 않습니다.|글꼴은 5개까지 설정할 수 있으며 만화책, PDF 파일에는 적용되지 않습니다.
좌/우 터치 영역 설정|좌/우 터치 영역 설정
숨기기|숨기기
로그아웃 상태입니다.|로그아웃 상태입니다.
서비스 오류 또는 점검으로 현재 오프라인 모드입니다.\n일부 기능이 제한될 수 있습니다.|서비스 오류 또는 점검으로 현재 오프라인 모드입니다.\n일부 기능이 제한될 수 있습니다.
정렬|정렬
스크린|스크린
사용 안함|사용 안함
작품 보기에만 집중해보세요!|작품 보기에만 집중해보세요!
오전 또는 오후를 선택하세요.|오전 또는 오후를 선택하세요.
스포일러 포함|스포일러 포함
대화상자 아이콘|대화상자 아이콘
법률 및 규제 정보|법률 및 규제 정보
입력된 글자 %1$d/%2$d|입력된 글자 %1$d/%2$d
완료|완료
