용량 |용량 
사용할 수 있는 저장소가 없습니다.|사용할 수 있는 저장소가 없습니다.
에서 다운로드하지 않은 작품을 전체 다운로드합니다.|에서 다운로드하지 않은 작품을 전체 다운로드합니다.
시리즈 무료 이용권|시리즈 무료 이용권
사용자 이미지|사용자 이미지
 작품이 없습니다.| 작품이 없습니다.
일주일 동안 보지 않기|일주일 동안 보지 않기
초기화하시겠습니까?|초기화하시겠습니까?
로그인 중입니다...|로그인 중입니다...
셀렉트|셀렉트
이동|이동
권이|권이
(이)가 삭제되었습니다.|(이)가 삭제되었습니다.
기기 초기화|기기 초기화
다음 화면에서 [허용]을 선택해주세요.|다음 화면에서 [허용]을 선택해주세요.
이용약관 v4.6|이용약관 v4.6
할 수 없는 책 안내|할 수 없는 책 안내
이 작품의 제목을 입력해주세요.|이 작품의 제목을 입력해주세요.
로그인 아이디 변경|로그인 아이디 변경
현재 페이지 |현재 페이지 
터치 잠금이 해제되었습니다.|터치 잠금이 해제되었습니다.
<b>한 손가락</>으로<br>화면을 위아래로 쓸어서 쉽게<br>조절할 수 있습니다.|<b>한 손가락</>으로<br>화면을 위아래로 쓸어서 쉽게<br>조절할 수 있습니다.
잠금 설정을 해제하려면 비밀번호를 입력해주세요.|잠금 설정을 해제하려면 비밀번호를 입력해주세요.
최신순|최신순
결제 금액이 부족합니다.|결제 금액이 부족합니다.
저자권상 문제의 소지가 있는 내용|저자권상 문제의 소지가 있는 내용
반대 방향(←)으로 보는 작품입니다.|반대 방향(←)으로 보는 작품입니다.
프론트라이트가 꺼졌습니다.|프론트라이트가 꺼졌습니다.
책갈피|책갈피
파일 삭제|파일 삭제
배터리 잔량 표시 (%)|배터리 잔량 표시 (%)
기기 잠금과 구매 목록 잠금을 해제하고 설정된 잠금 비밀번호를 초기화 합니다.|기기 잠금과 구매 목록 잠금을 해제하고 설정된 잠금 비밀번호를 초기화 합니다.
기본 책장에 작품이 없습니다.|기본 책장에 작품이 없습니다.
자동 회전|자동 회전
책장에 |책장에 
검색 결과가 너무 많습니다.\n검색어를 변경해서 다시 검색해보세요.|검색 결과가 너무 많습니다.\n검색어를 변경해서 다시 검색해보세요.
구매방식 필터|구매방식 필터
Device ID가 일치하지 않음|Device ID가 일치하지 않음
동시 이용은 페이퍼 기기 한정 <b>최대 5대</b> 입니다.<br>대체할 기기를 선택해주세요|동시 이용은 페이퍼 기기 한정 <b>최대 5대</b> 입니다.<br>대체할 기기를 선택해주세요
읽던 페이지 동기화|읽던 페이지 동기화
기본 책장|기본 책장
이어받기 준비 중입니다...|이어받기 준비 중입니다...
마이셀렉트에 추가되었습니다.|마이셀렉트에 추가되었습니다.
목차순|목차순
카테고리별 책장|카테고리별 책장
권|권
영영사전|영영사전
결제하고 바로 보기|결제하고 바로 보기
다운로드 중입니다...|다운로드 중입니다...
비공개 댓글 입니다.|비공개 댓글 입니다.
최대 1000권까지 추가할 수 있습니다.|최대 1000권까지 추가할 수 있습니다.
> 다운로드를 준비합니다.|> 다운로드를 준비합니다.
[PAPER에서 이용불가] |[PAPER에서 이용불가] 
내 서재 전체 검색|내 서재 전체 검색
길벗|길벗
슬립 모드 타이머|슬립 모드 타이머
권의 작품을 구매 목록에서 숨기시겠습니까?|권의 작품을 구매 목록에서 숨기시겠습니까?
음란성/선정성|음란성/선정성
알림|알림
로그인된 아이디가 없습니다.|로그인된 아이디가 없습니다.
밝기 조절|밝기 조절
사용할 수 없는 이미지입니다.|사용할 수 없는 이미지입니다.
랜덤 사용자 슬립 화면|랜덤 사용자 슬립 화면
다운로드 중 ⋯ |다운로드 중 ⋯ 
저장하시겠습니까?|저장하시겠습니까?
설정에서 다시 보이게 할 수 있습니다.|설정에서 다시 보이게 할 수 있습니다.
좌/우 터치 영역 설정|좌/우 터치 영역 설정
모델명|모델명
새 |새 
이미지가 없습니다.|이미지가 없습니다.
네트워크 연결을 확인해주세요.|네트워크 연결을 확인해주세요.
댓글이 등록되었습니다.|댓글이 등록되었습니다.
선택된 내용이 없습니다.|선택된 내용이 없습니다.
카테고리별 책장에 작품이 없습니다.|카테고리별 책장에 작품이 없습니다.
신고가 완료되었습니다.|신고가 완료되었습니다.
다운로드할 수 없는 작품입니다.|다운로드할 수 없는 작품입니다.
 타입은 지원하지 않습니다.| 타입은 지원하지 않습니다.
작품 정보를 찾을 수 없습니다.|작품 정보를 찾을 수 없습니다.
터치 잠금이 설정되었습니다.|터치 잠금이 설정되었습니다.
할 수 없는 책이 포함되어 있습니다. 제외하고 |할 수 없는 책이 포함되어 있습니다. 제외하고 
 보기| 보기
작품 정보를 갱신하고 있습니다...|작품 정보를 갱신하고 있습니다...
일 전|일 전
개의 |개의 
넘김 버튼이 전환되었습니다.|넘김 버튼이 전환되었습니다.
저장되었습니다.|저장되었습니다.
날짜 및 시간|날짜 및 시간
리디 로그인|리디 로그인
 액션은 지원하지 않습니다.| 액션은 지원하지 않습니다.
새로고침|새로고침
대여했던 작품 다시 무료로 보기|대여했던 작품 다시 무료로 보기
댓글운영 정책|댓글운영 정책
듣기(TTS) 중 슬립 화면 진입하기|듣기(TTS) 중 슬립 화면 진입하기
책장 이름 변경|책장 이름 변경
회전 잠금 설정|회전 잠금 설정
[^0-9\[{()}\].\s주]|[^0-9\[{()}\].\s주]
할 수 있는 작품이 없습니다.|할 수 있는 작품이 없습니다.
현재 다운로드 중인 작품이 있습니다. 슬립모드로 전환하면 모든 작품 다운로드가 중지됩니다.|현재 다운로드 중인 작품이 있습니다. 슬립모드로 전환하면 모든 작품 다운로드가 중지됩니다.
삭제하시겠습니까? |삭제하시겠습니까? 
남겨진 독서노트가 없습니다.|남겨진 독서노트가 없습니다.
이 링크를 브라우저에서 여시겠습니까?|이 링크를 브라우저에서 여시겠습니까?
총 |총 
1분 미만|1분 미만
이메일 주소 수정|이메일 주소 수정
연재 무료 이용권|연재 무료 이용권
[상위 폴더]|[상위 폴더]
작품을 다운로드합니다.|작품을 다운로드합니다.
다음\n이전|다음\n이전
